Product Name,Width(mm),Height(mm),Pitch(mm),ResW(px),ResH(px),Power(W),Weight(kg),MaxFPS(Hz),Color
Bendac AccuVision,337.5,600,0.9,360,640,100,4.5,240,#4a90e2
Bendac AccuVision,337.5,600,1.2,270,480,100,4.5,240,#4a90e2
Bendac Krystl Max,1000,500,1.9,512,256,300,12.5,60,#50e3c2
Bendac Krystl Max,1000,500,2.6,384,192,300,12.5,60,#50e3c2
Bendac Krystl Max,1000,500,3.9,256,128,300,12.5,60,#50e3c2
Bendac Dura,960,960,6,144,144,450,28,60,#9013fe
Bendac Dura,960,960,8,120,120,520,28,60,#9013fe
Bendac Dura,960,960,10,96,96,520,28,60,#9013fe
Bendac COBi,600,337.5,0.9,640,360,121.5,4.5,60,#f5a623
Bendac COBi,600,337.5,1.2,480,270,121.5,4.5,60,#f5a623
Bendac COBi,600,337.5,1.2,384,216,121.5,4.5,60,#f5a623
Bendac Perimeter,1600,900,8,200,112,1000,45,60,#f5a623
Bendac Perimeter,1600,900,10,160,90,1000,45,60,#f5a623
